"козёл","male-goat, billy-goat; Asshole"
"ро́слый","tall, stalwart, strapping"
"подполко́вник","lieutenant-colonel"
"разру́шить","destroy; ruin"
"аэропо́рт","airport"
"и́здали","from a distance"
"длина́","length"
"забы́тый","lost, forgotten"
"авторите́т","authority"
"мы́сленно","mentally"
"принце́сса","princess"
"ту́фля","dress shoe"
"таска́ть","to carry or to drag; to pull ( hair ); to steal"
"нанести́","inflict or cause; apply put on a layer; pay a visit; To strike or hit"
"му́дрый","wise, sage"
"ветвь","branch"
"кри́зис","crisis"
"де́скать","they say... / he or she says... / allegedly..."
"осторо́жный","careful, cautious, wary, prudent"
"пожела́ть","wish, desire, covet"
"отъе́зд","departure"
"кгб","KGB ( * State Security Committee)"
"накры́ть","cover; set"
"зали́ть","to cover when pouring, to pour on, to spill; to fill up (with liquid); to flood (in terms of bodies of water); (computing, slang) to upload"
"нере́дко","not infrequently, quite often; often"
"пре́док","ancestor, forefather"
"жи́дкость","liquid, fluid"
"орке́стр","orchestra(a large group of musicians who play many different instruments together and are led by a conductor), brass band, orchestra-pit"
"дыра́","а crack breach or emptiness in something; (colloquial) A city village etc remote from the centers of culture; hole"
"пое́сть","eat, take some food"
"годи́ться","be good for, serve, do, be of use, fit, suitable"
"волше́бник","wizard, magician, sorcerer"
"счесть","to count/consider or perceive as"
"скрыва́ться","hide"
"обвине́ние","accusations charges allegations"
"бред","nonsense"
"рис","rice, paddy"
"стара́тельный","diligent, assiduous, painstaking; industrious"
"маршру́т","route, itinerary"
"привяза́ть","to tie to, bind, fasten, tether, attach"
"ма́ршал","marshal"
"до́шлый","cunning, shrewd"
"зави́довать","envy, be envious"
"большеви́к","Bolshevik"
"спи́нка","diminutive of back; back of furniture"
"аж","even / all the way (as a filler word to emphasise the statement); as many as / as much as / as long as"
"общежи́тие","dormitory"
"предста́виться","present itself, arise, occur; seem; introduce oneself"
"определе́ние","definition"
"сме́ртный","mortal death deadly fatal (adj)"
"спали́ть","incinerate, burn, burn down, reduce to ashes, scorch, singe"
"гад","vile person (bastard), monster; loathsome critter (crawler, reptile)"
"ме́дный","copper"
"традицио́нный","traditional"
"рвану́ть","to jerk; to take off (rush); explode"
"размышля́ть","to ponder, reflexionar"
"прибли́зиться","approach"
"приложи́ть","to apply, to use; put in effort; to put (next to); to attach, to enclose, to join; (colloquial) to smack, to whack"
"хло́пать","slam; slap; clap"
"ерунда́","nonsense, rot, rubbish, trifle, nothing"
"при́ступ","assault or attack"
"кре́пость","stronghold; fortress"
"треск","A sharp sound from something cracked/burst/broken"
"интервью́","interview"
"су́мерки","twilight"
"проводни́к","guide, conductor, guard, bearer, champion"
"демократи́ческий","democratic"
"подо́бно","like"
"учи́тельница","teacher"
"конве́рт","envelope, cover, sleeping bag"
"анекдо́т","anecdote, funny story, joke"
"изобрази́ть","depict"
"физионо́мия","physionomy"
"обижа́ться","to take offense be offended"
"видне́ться","to be seen or can be seen"
"трамва́й","tram, tramway, street railway, tram-car, street-car"
"вы́лететь","fly out, take off, dash out, dart out, rush out, be given the sack"
"кварта́л","quarter/block (of year/city)"
"риск","risk"
"дружо́к","(dear) friend; buddy, pal, boyfriend"
"се́мьдесят","seventy"
"колю́чий","prickly thorny (прилагательный)"
"военно","militarily"
"прыжо́к","jump"
"фа́брика","factory"
"отмеча́ть","to celebrate; mark, note, mark off, mention, register"
"оболо́чка","shell, cover, jacket, envelope, casing, capsule, form, appearance, ; membrane"
"описа́ние","description"
"свиде́тельство","evidence, testimony, illustration, certificate, licence"
"взор","gaze"
"адвока́т","advocate, counsellor, ; lawyer, attorney, barrister, solicitor, "
"раскры́тый","exposed; disclosed"
"жу́ткий","creepy, eerie, spooky; terrible, horrible, horrific"
"наста́ивать","to insist"
"заведе́ние","institution, establishment"
"восстанови́ть","to restore"
"рядово́й","private (military rank); ordinary person"
"покида́ть","leave abandon forsake"
"архи́в","archive"
"серди́ться","be angry"
"за́мысел","plan that has been thought up but not implimented"
"попали́ть","burn"
"всю́ду","everywhere"
"курса́нт","student"
"фура́жка","peaked cap"
"февра́ль","February"
"капита́л","capital"
"учи́тывать","take into account"
"федера́льный","federal"
"фаши́ст","fascist"
"вздыха́ть","to sigh"
"полоте́нце","towel"
"инстру́кция","instruction(s), direction"
"маг","magician, wizard"
"лу́жа","puddle, pool"
"нару́жу","outside (to the outside/being limit of something)"
"то́нна","ton"
"мора́льный","moral, ethical, spiritual, mental"
"пье́са","Play"
"раздраже́ние","irritation"
"перестава́ть","to cease/stop/quit"
"неподви́жный","motionless"
"телеви́дение","television, TV"
"осозна́ть","realize, realise"
"оди́ннадцать","eleven"
"жильё","house / dwelling; habitation (an inhabited place), lodging, domicile; housing, accommodation"
"недо́лго","not long"
"шампа́нский","Champagne, related to Champagne"
"выража́ться","express oneself"
"процеду́ра","procedure"
"головно́й","head, encephalic, cerebral, leading"
"столи́чный","capital"
"коне́чный","ultimate final end (adj)"
"жени́х","fiancé (male)"
"нату́ра","nature, model, sitter"
"докла́дывать","to report"
"внести́","to bring in, carry in, make; to pay in; to bring in/about cause introduce; to enter, insert, include; to put forward, submit, table"
"се́льский","rural"
"неле́пый","ridiculous, absurd, odd, nonsensical, incongruous"
"ма́ска","mask, deathmask"
"ко́нкурс","competition"
"техноло́гия","technology"
"прое́хать","pass, ride, pass by, drive by, ride by, do, make, exercise, spend on travelling"
"революцио́нный","revolutionary"
"ю́ность","youth, young people"
"рёв","roar, bellow, howl; whine"
"сиби́рь","Siberia"
"ад","hell, Hades, the Underworld"
"струя́","stream, jet, spurt, spirt, current"
"го́рдый","proud"
"ви́деться","see each other"
"непосре́дственно","immediately; directly (in a straightforward way); just"
"му́чить","to torture"
"аккумуля́тор","battery"
"нетерпели́вый","impatient"
"Берли́н","Berlin"
"кисть","brush"
"проведе́ние","implementation/undertaking, conducting, carrying out"
"ста́вка","rate, salary; bet; stakes"
"про́вод","wire, lead, conductor"
"прово́д","wire, lead, conductor"
"нарисова́ть","to draw; to paint"
"сдава́ть","rent out, let out, handover; take an exam, pass an exam; turn in to the authorities; give, distribute, donate"
"передово́й","advanced; progressive; forward, foremost, headmost"
"стрельба́","a shooting; the action of shooting"
"исполня́ть","fulfill; to perform"
"рекла́ма","advertisement"
"коменда́нт","commandant superintendent in charge of a building"
"оторва́ться","come off, tear off; take off; tear oneself away, take a break from, (let 's) break away; lose touch"
"премье́ра","premiere, new production"
"повора́чиваться","turn, swing, change, turn around"
"поцелу́й","kiss"
"нехорошо́","it is bad, it is wrong, badly"
"прогу́лка","walk, stroll"
"Япо́ния","Japan"
"наро́чно","on purpose"
"орёл","eagle"
"приступи́ть","to start something"
"те́хник","technician, technically qualified person"
"прогре́сс","progress"
"но́венький","new, brand-new"
"тру́дность","difficulties; hardships"
"каза́рма","barracks, barn"
"наби́тый","Full, well packed, stuffed, crowded, congested, packed with"
"часово́й","(relatioal) clock, watch, hour; hourly, one-hour, ; sentry, sentinel"
"нар",""
"кислота́","sourness, acidity, acid"
"пло́тно","tightly"
"удиви́ть","surprise, astonish, amaze"
"защити́ть","defend or protect, speak in support, stand up, plead for"
"ю́бка","skirt"
"внача́ле","at first in the beginning (adv)"
"промолча́ть","to remain silent; to remain quiet for some period of time; to avoid answering by remaining quiet"
"по́лдень","mid day"
"расте́рянно","perplexedly"
"овра́г","ravine"
"неприя́тно","it is unpleasant, unpleasantly"
"пешко́м","on foot, afoot"
"достига́ть","to reach get to; to attain, to achieve"
"че́реп","skull, cranium"
"дове́рие","trust"
"предоста́вить","to grant, to provide"
"отня́ть","take away, take, bereave, amputate, subtract"
"ро́жа","(derogatory) face, mug"
"тала́нтливый","talented, gifted, clever"
"каю́та","cabin (on a ship); state-room, stateroom"
"си́мвол","symbol"
"да́та","date"
"промы́шленный","industrial, manufactured, manufacturing"
"фи́зика","physics"
"неудо́бно","it is inconvenient, uncomfortably"
"регио́н","region"
"игру́шка","toy, plaything"
"шепта́ть","whisper"
"прозвуча́ть","to sound like, sound out"
"сни́ться","to dream"
"стыд","shame, lastima"
"матро́с","seaman, sailor"
"проти́вный","disgusting or nasty; contrary or opposite"
"поклони́ться","bow; worship"
"испо́ртить","to spoil, to mar; to ruin, to damage, to corrupt; to deteriorate, to make worse, to mess up, to screw up, to louse up"
"оказа́ть","Render/provide (a service); Show; to exert (influence)"
"пуга́ть","frighten, scare, intimidate"
"му́тный","turbid, dull, lacklustre, cloudy, muddy"
"отложи́ть","to postpone delay put off; to save, put away"
"гара́ж","garage"
"жрать","eat; devour"
"вы́пилить","saw out; remove (slang)"
"фю́рер","Fuhrer"
"вступа́ть","join; enter, start; march"
"отча́янный","desperate"
"вы́жить","survive, live it out, see it out"
"окра́ина","outskirts, outlying districts"
"изда́тельство","publishing house; Publisher"
"происше́ствие","incident"
"извле́чь","to extract retrieve take from remove"
"ноль","nil"
"прихо́д","arrival"
"пре́мия","award"
"ча́йник","teapot, kettle"
"прихо́жая","hallway, hall, entrance; anteroom / antechamber"
"сосу́д","vessel (blood vessel)"
"свести́","take away carry away; remove; go crazy; make ends connect; cramp"
"проводи́ться","hold, to carry out, to take place; has/have been held"
"отказа́ть","refuse, deny"
"о́гненный","fiery, flamy"
"зде́шний","of this place, local, here"
"косо́й","slanting, skew, oblique, squint, squinting, squint-eyed"
"котело́к","pot or kettle for cooking; bowler hat"
"безусло́вно","undoubtedly; certainly"
"влезть","get in, climb in, get, climb, go in; fit"
"ю́мор","humor"
"о́круг","disctrict region circuit; county (US or Canada)"
"забро́сить","throw, cast, hurl, shower; abandon, neglect, give up, drop"
"хор","choir; chorus"
"бока́л","glass (of wine), goblet"
"Ло́ндон","London"
"запо́лнить","to fill out"
"маши́нка","Machine, typewriter, sewing-machine, clipper, car"
"щит","shield, buckler, screen, snow-screen, snow-fence, sluice-gate, panel, tortoise-shell, scutum"
"рюкза́к","backpack"
"вытира́ть","wipe dry, wipe, dry"
"фанта́зия","fantasy; imagination"
"учёт","accounting/consideration; mainstreaming"
"сверка́ть","sparkle twinkle be flashing"
"ткнуть","to poke, to stick, to jab; to point (at), "
"благода́рный","thankful"
"молчали́вый","not fond of talking much; understood or done without words"
"отста́ть","to lag or fall behind"
"мероприя́тие","event"
"дели́ться","to share; to be divided"
"траге́дия","tragedy"
"чудо́вищный","monstrous"
"трясти́","shake; jolt; tremble, shiver"
"разверну́ться","to turn yourself around, unfold, come unwrapped, show oneself, display oneself, spread, deploy, expand, be expanded, turn, slew"
"награ́да","reward award prize"
"партнёр","partner"
"соотве́тственно","accordingly; respectively; correspondingly"
"отступа́ть","step back; retreat"
"провали́ться","fail; fall"
"отпуска́ть","let go"
"вопль","a yell"
"переры́в","interruption; interval, break, intermission"
"проща́ться","to bid farewell"
"принима́ться","begin, start, set, strike take root, take; to be accepted"
"на́бережная","embankment, quay, sea-front"
"пы́льный","dusty"
"руга́ть","scold, rail, abuse, criticize severely"
"воспита́ние","upbringing, nurture, breeding, ; education, training"
"весе́нний","spring"
"недоуме́ние","bewilderment, perplexment; perplexity"
"огляде́ться","to look around you"
"казённый","old word related to state and government"
"проявля́ть","to manifest; to show (display)"
"преподава́тель","teacher lecturer instructor; Teacher of university level"
"пригово́р","sentence, verdict, condemnation"
"ста́до","herd"
"кали́тка","wicket; gate"
"трево́жный","anxious, anxiety, uneasy, uncomfortable; alarm"
"торгова́ть","to trade/deal/sell"
"ко́пия","copy"
"отнести́","to take to, carry to; to deliver"
"гениа́льный","of genius, great, brilliant"
"ла́сковый","affectionate, tender, sweet, caressing"
"ви́ца","flexible branch / rod"
"увеличе́ние","increase, augmentation, extension, expansion, magnification, enlargement"
"стреми́тельно","rapidly"
"мада́м","madam, madame, ma'am"
"унести́","take away, carry off, to carry away"
"кати́ться","roll"
"раздели́ть","divide, split, share"
"гла́дкий","smooth (adj)"
"греме́ть","make sound thunder/rumble/roar"
"наслажде́ние","enjoyment or delight"
"таба́к","tobacco, tobacco-plant"
"ко́смос","cosmos"
"придава́ть","attribute, attach, assign, give; give to something  or makes it some way"
"катастро́фа","catastrophe"
"изба́виться","to get rid of"
"командиро́вка","official journey, business trip"
"плю́нуть","spit, expectorate; don’t care, shrug off"
"убеди́ть","convince, pursued"
"холоди́льник","refrigerator, fridge, wine-cooler, cold store, condenser"
"рассчита́ть","calculate"
"вы́гнать","to kick out"
"пройти́сь","walk, stroll, take a walk"
"зажа́ть","to clamp (press / squeeze), to clutch, to stop up, keep down; to suppress"
"прижа́ться","to press up against something"
"подхо́д","way; approach"
"цепо́чка","chain"
"за́висть","envy"
"де́йствующий","active/valid/functioning"
"гул","rumble rumbling hum buzz"
"короле́вский","royal, regal, kingly"
"зерно́","grain, seed, core, kernel, corn, cereals, grain crop"
"му́читься","suffer"
"комме́рческий","commercial"
"пустя́к","nothing/trifle/unimportant thing"
"класси́ческий","classic, classical"
"котёл","cauldron, boiler, pocket"
"таково́й","such, the same"
"оби́дно","offensively, it insulting"
"подря́д","in a row"
"сту́кнуть","hit, knock, pound, punch"
"свиде́тельствовать","witness; testify, give evidence, be evidence"
"скрыть","hide conceal, dissemble, keep back, keep to oneself, cover"
"хо́ббит","hobbit"
"флаг","flag, ensign"
"наблюда́ться","be observed (be discovered), observe"
"ступа́ть","to tread to step on step; (imperfective only) to leave"
"пионе́р","pioneer, Young Pioneer"
"повы́шенный","heightened (adj)"
"мане́ра","manner, style"
"злость","anger/rage"
"поко́нчить","finish, finish off, be through, have done"
"жа́лоба","complaint"
"положи́тельный","positive, favourable"
"двойно́й","double ( in quantity or size), dual"
"популя́рный","popular"
"уче́ние","teachings/doctrine"
"меда́ль","medal"
"открове́нно","frankly, candidly, openly"
"шпио́н","spy"
"сезо́н","season"
"прише́лец","alien, stranger"
"пове́рх","over"
"мелька́ть","to flash"
"одева́ться","to wear clothes or to put on clothes"
"ки́нуть","throw, cast, fling"
"танцо́р","dancer"
"преиму́щество","advantage/preference/privilege; Exclusive right to something"
"завали́ть","to cover or fill something; (colloquial) to fail a test; to be swamped with some work"
"дёрнуть","to pull / tug / pull out, to pull about, to move sharply, to jerk, to twitch; to pull on someone's nerves, to pester, to disturb; (low colloquial) to drink, to knock one back"
"о́блик","look image or outward appearance"
"фо́рмула","formula"
"сыно́к","son, sonny"
"беспоко́ить","worry, disquiet, perturb, disturb, trouble, inconvenience, cause inconvenience, put to inconvenience; bother"
"раздава́ться","come from, emanate  from; to be"
"хрони́ческий","chronic"
"неуве́ренный","uncertain, hesitating, insecure"
"мк","micron -> [м]и[к]рон; maritime college -> [м]орской [к]олледж; millikelvin -> (м]илли[к]ельвин; magnetic card / cassette -> [м]агнитная [к]арта / [к]ассета; small caliber -> м]а̣ло[к]алиберный"
"намёк","hint, allusion"
"кома́ндование","command, headquarters"
"убеждённый","convinced"
"заста́ть","to catch (surprise)"
"протя́гивать","stretch, reach out, stretch out, extend, offer, proffer, drawl, prolong"
"грек","Greek"
"оборо́т","turn, revolution, rotation, turnover"
"прилете́ть","come by flying / arrive by air"
"те́рмин","term"
"де́нежный","money (adj)"
"извиня́ться","apologize"
"неподви́жно","motionless; still"
"пога́снуть","turn off, to go out"
"чече́нский","Chechen"
"оби́деть","to hurt or offend"
"идеа́л","ideal"
"марш","march, flight of stairs"
"реши́тельный","decisive, critical, resolute, firm, all-out, decided, determined"
"уме́ние","ability"
"волнова́ть","to worry or make anxious"
"стро́йный","slender"
"стихотворе́ние","poem, rhyme"
"возбуди́ть","excite, rouse, arouse, stir, stir up, instigate, incite, raise"
"торже́ственный","solemn, festive, ceremonial; triumphant; (relational) fest, gala"
"не́кого","there is nobody one can + infinitive"
"прохо́жий","passenger"
"психологи́ческий","psychologic, psychological"
"покупа́тель","buyer, purchaser, customer, client"
"безнадёжный","hopeless adj"
"споко́йствие","calm, calmness, quiet, tranquility, composure"
"сгоре́ть","to burn (to be consumed by fire)"
"располага́ться","settle, make oneself comfortable; is located"
"нефть","oil, petroleum, crude oil"
"жела́ющий","one who wishes, persons interested, those who so desire; willing"
"ве́на","vein"
"тра́ктор","tractor"
"разноцве́тный","multi-coloured"
"килогра́мм","kilogramme, kilogram"
"э́такий","То же что такой"
"прони́кнуть","penetrate; break in; get in"
"слы́шный","audible"
"заже́чь","to light (a candle, lamp, etc.)"
"Эсто́ния","Estonia"
"очути́ться","find oneself, come to be"
"ока́зывать","Render a service, Prestar un servicio; Show; Render, Interpretar; Reproduce, Do; to exert (influence)"
"любопы́тный","curious"
"добы́ча","loot/booty"
"роско́шный","luxurious"
"е́жели","if"
"вози́ть","to transport/carry (by vehicle); to take someone"
"обы́чай","custom, rite; habit, practise"
"опубликова́ть","publish; make public"
"мотоци́кл","motor cycle, motor bike"
"кни́жный","Аdjective of book; bookish, abstract"
"разби́ть","break, crash, smash, divide, lay out, pitch, set up, beat, defeat, hurt badly, fracture, space"
"ва́нна","bath"
"продолже́ние","continuation"
"политбюро́","political bureau, Politbeau"
"диск","disk, disc, discus, drum"
"ссы́лка","reference; (computing) link; exile"
"соверше́нный","perfect (adj); absolute, complete"
"цени́ть","value; appreciate; to evaluate, to estimate"
"подчинённый","subordinate, underling, dependant, under the command of"
"тёща","mother-in-law, wife's mother"
"па́луба","deck"
"ме́ньший","lesser, younger, less"
"перча́тка","glove"
"вложи́ть","Invest; put in"
"вы́бить","knock out, kick out, beat, stamp"
"коре́йский","Korean"
"пузы́рь","bubble; bladder"
"се́рия","episode; series"
"приба́вить","add to; (without object and в весе/в росте) to put on weight"
"верхо́вный","supreme, sovereign"
"вы́носить","bear or stand"
"выноси́ть","to carry out; suffer"
"просто́рный","spacious, roomy, loose, wide"
"неопределённый","uncertain; undefined"
"велосипе́д","bicycle, cycle, bike, tricycle"
"косну́ться","to touch; to touch upon (in conversation)"
"ресу́рс","resources, resource"
"задыха́ться","to suffocate"
"эффекти́вный","effective adj"
"тетра́дь","notebook, writing-book, exercise-book, copy-book, part"
"храни́ться","be kept, stored"
"злове́щий","ominous, sinister, boding ill, uncanny"
"абсолю́тный","absolute, perfect, utter"
"жа́жда","thirst; lust (craving)"
"постоя́лый","resident"
"а́лый","crimson; scarlet"
"разорва́ть","tear apart; to break (ties)"
"му́сор","garbage, trash, debris, rubbish, sweepings, dust, refuse, police (slang)"
"пету́х","rooster/cock; faggot, prison fag"
"порошо́к","powder"
"религио́зный","religious, pious"
"донести́сь","reach ears, be heard, waft"
"перехвати́ть","to intercept"
"расте́ние","plant"
"воспринима́ть","take; perceive"
"уда́в","boa, boa constrictor"
"башма́к","shoe, boot; chock"
"сего","this"
"лы́жа","ski"
"пропага́нда","propaganda, popularization"
"руководи́ть","lead, to manage, to run (to conduct or direct with authority); be in charge"
"задержа́ться","stay long, linger; be delayed"
"бык","bull; agressive person; strong man"
"бе́шеный","rabid, mad; furious, frantic"
"сниже́ние","lowering, reduction, decrease, deterioration, demotion"
"опа́сно","dangerously, perilously"
"пасть","to fall"
"плач","crying"
"переверну́ть","to turn / turn around; to turn inside out; to overturn / turn over; to turn upside down"
"типи́чный","typical, characteristic, model"
"сало́н","salon"
"надева́ть","to put on (clothes)"
"замеча́ние","remark; reprimand"
"беспоко́йство","anxiety or restlessness; concern"
"бра́тец","brother, my boy"
"увезти́","carry off, kidnap, abduct, steal, lift; take away"
"наруша́ть","violate; to disrupt"
"выходно́й","to be available"
"заверну́ть","wrap"
"гости́ный","living room, parlor"
"обору́дование","equipment"
"буфе́т","canteen, bar, counter"
"аргуме́нт","argument"
"рекомендова́ть","recommend, advise; (obsolete) introduce"
"лёт","flight"
"пра́здничный","holiday"
"спусти́ть","to lower"
"набира́ть","to gain, put on; type / dial"
"неожи́данность","surprise; unexpectedness"
"цирк","circus"
"светло́","it is light, brightly, bright, daylight"
"зараба́тывать","earn"
"луг","meadow"
"переводи́ть","transfer, move, take, remit, send through the bank, convert, move up into the next form, translate, interpret, exterminate, use up, dissipate, squander, shift; translate; take out of the bank"
"подозри́тельный","suspicious"
"инвали́д","invalid, disabled person"
"исхо́д","outcome, exit, way out"
"обрести́","find aquire or gain"
"нену́жный","unnecessary, needless, useless"
"бюро́","bureau"
"отде́льно","separately"
"бедро́","hip, haunch; thigh, "
"допуска́ть","to admit; to accept, to permit, to allow, to tolerate; to assume; to let happen"
"квадра́тный","square"
"подро́бно","in detail, at length, minutely"
"сжать","squeeze; compress"
"вздох","sigh breath out"
"зе́лень","greenery, verdure, greens, vegetables, green, vert"
"освобожде́ние","liberation, emancipation, release, discharge, deliverance, vacation; exemption"
"покоси́ться","sink to one side, be lop-sided; to squint, to look asquint, to look sideways, to cast a sideways look"
"престу́пный","criminal, felonious"
"село́","village; A large peasant settlement is an economic and administrative center for the surrounding villages (in pre-revolutionary Russia a church was also a mandatory part of such a settlement)."
"отступи́ть","to step back; retreat"
"аэродро́м","airfield, aerodrome, airdrome"
"чин","rank"
"влюблённый","in love ( couple-n)"
"расстегну́ть","undo or unfasten unbutton"
"пле́мя","Tribe"
"ла́герный","(relational) camp"
"мышь","mouse"
"гру́бо","roughly, coarsely, rudely, crudely"
"шу́ба","fur coat"
"вса́дник","rider, horseman"
"до́ступ","access, admittance, admission; domain"
"крючо́к","hook; fish hook; crochet needle"
"упере́ться","to rest (against), to set (against); to be hampered, to be held back, to hinge (on); to run into, come up against; to jib, to balk, to refuse"
"небре́жно","carelessly"
"очеви́дный","obvious (adj)"
"медици́на","medicine"
"крути́ться","to spin twist rotate (reflexive)"
"боеви́к","hit; action movie"
"осве́домиться","inquire"
"дро́гнуть","tremble, shiver, flinch, waver"
"посо́льство","embassy"
"бума́жный","paper"
"прикрыва́ть","cover, to close (but not tightly)"
"пребыва́ние","stay; tenure"
"ко́нчик","(colloquial) tip (sharp/narrow end of something"
"упомяну́ть","mention, refer to"
"вцепи́ться","seize, catch hold, clutch, cling"
"миллиа́рд","billion"
"напеча́тать","to print; to type"
"моне́та","coin"
"свист","whistle"
"ниско́лько","not at all, not in the least, none at all"
"соли́дный","solid reliable respectable"
"шерсть","wool; fur"
"предположе́ние","assumption; (outdated) a preliminary intention/plan"
"ста́линский","Stalinist, related to Stalin"
"раздража́ть","annoy/irritate"
"по́вар","cook; chef"
"тварь","Creature"
"торже́ственно","solemnly; triumphantly"
"уточни́ть","to clarify"
"каза́к","Cossack"
"обеспе́чивать","to provide"
"неуда́ча","failure misfortune bad luck"
"электро́нный","electronic"
"приглаше́ние","invitation, invitation card, offer"
"размышле́ние","ponderance, reflection, thought, musing"
"гра́дус","degree( temperature )"
"шко́льник","schoolboy"
"засу́нуть","put in, push in, shove in, thrust in"
"предстоя́щий","upcoming"
"биогра́фия","biography"
"симпати́чный","attractive; nice"
"дровосе́к","wood-cutter; lumberjack"
"кри́тика","criticism, critique"
"обе́дать","to eat lunch"
"кита́ец","Chinese man, the Chinese"
"филосо́фия","philosophy"
"заодно́","at the same time"
"ви́дный","visible, conspicuous, eminent, distinguished, notable, prominent, handsome, stately"
"набо́р","collection; set"
"по́шло","vulgarly"
"зага́дка","riddle; mystery"
"характери́стика","а description or characteristic"
"прожива́ть","to reside; to live (formal)"
"фантасти́ческий","fiction; fantastic, fabulous"
"расста́ться","to part/leave/seperate/break up"
"поэ́зия","poetry"
"англича́нин","Englishman"
"бино́кль","binocular, pair of glasses"
"благополу́чно","safely; Successfully; Well"
"беспо́мощный","helpless"
"коло́дец","well"
"седло́","saddle"
"украи́нский","Ukrainian"
"повя́зка","bandage; armband; eye-patch"
"ко́рточки","squat; hunkers"
"существу́ющий","existing"
"темне́ть","get dark"
"заду́мать","to think of; to devise"
"поры́в","impulse; gust(wind)"
"проби́ть","penetrate; break through; struck"
"вгля́дываться","peer"
"грана́та","grenade, (high-explosive) shell, "
"италья́нский","Italian"
"ху́тор","khutor (farm, farmstead); hamlet"
"комсомо́льский","Komsomol"
"непосре́дственный","immediate; direct"
"гу́сто","thickly, densely"
"чу́вствоваться","be felt"
"практи́ческий","practical, pragmatic"
"воспале́ние","pneumonia; inflammation"
"добавля́ть","add, contribute"
"пацие́нт","patient"
"добы́ть","to get"
"подъе́хать","arrive"
"печа́льно","sadly, regrettably, unfortunately"
"па́лочка","line, stroke, bacillus; stick; chopsticks"
"ра́звитый","advanced developed"
"графа́","column; paragraph"
"поку́пка","buying, purchasing, shopping"
"объявле́ние","Announcement"
"роса́","dew"
"сдви́нуть","move, push together, shift"
"безу́мный","crazy/mad/insane"
"воробе́й","sparrow"
"простыня́","sheet, bed-sheet"
"Оде́сса","Odessa, Odesa"
"десятиле́тие","decade"
"направля́ться","be headed, be directed"
"нау́чно","scientifically, science"
"невысо́кий","not high"
"дрема́ть","doze, slumber, nod, dawdle, dally"
"корзи́на","basket"
"петля́","hinge; noose; run in a stocking"
"боле́зненный","painful"
"кампа́ния","campaign"
"вспы́шка","flash"
"наказа́ть","punish"
"гнездо́","nest"
"столкну́ться","bump into; run into; come across paths; to face, enounter"
"не́жно","tenderly, delicately"
"вмеша́ться","interfere, intervene (4)"
"лы́сый","Bald"
"перебира́ть","repeatedly touch; repeated smooth movements ( comb through hair)"
"своеобра́зный","distinctive or peculiar"
"опозда́ть","be late, be overdue"
"обща́ться","communicate socialise converse deal with"
"поко́йник","Dead Person"
"изве́стие","news"
"По́льша","Poland"
"кача́ть","to rock; to pump (extract from something); create ossilarly rhythmic movement"
"я́года","berry"
"столе́тие","century"
"сдава́ться","give up"
"дли́ться","to last; long"
"бензи́н","gasoline, petrol"
"окружа́ть","surround"
"францу́з","Frenchman, the French"
"угова́ривать","persuade, talk into, convince"
"упо́р","rest, emphasis, focus"
"отве́рстие","hole (usually small)"
"ра́ма","frame, chassis, carriage"
"по́льский","Polish"
"одино́чка","loner; by yourself"
