"козёл","Ziegenbock"
"инстру́кция","Anweisung, Anleitung, Instruktion, Vorschrift, Gebrauchsanweisung"
"маг","Magier, Zauberer, Zauberkünstler"
"лу́жа","Pfütze, Lache"
"нару́жу","nach außen; hinaus"
"то́нна","Tonne"
"мора́льный","moralisch, sittlich"
"пье́са","Stück, Aufführung, Spiel; Bühnenstück, Bühnenwerk, Theaterstück, Instrumentalstück"
"раздраже́ние","Reizung; Gereiztheit, Ärger, Verdruß"
"перестава́ть","aufhören, etwas bleiben lassen"
"неподви́жный","unbeweglich, regungslos, starr"
"телеви́дение","Fernsehen"
"осозна́ть","erkennen, begreifen, sich bewusst sein; einsehen"
"оди́ннадцать","elf, 11"
"жильё","Unterkunft, Quartier, Behausung; Wohnung, Wohnstätte"
"недо́лго","nicht lange"
"шампа́нский","Sekt-, Schampus-"
"выража́ться","sich ausdrücken; sich äußern, zum Ausdruck kommen, sich zeigen; derbe Ausdrücke gebrauchen, fluchen"
"процеду́ра","Prozedur, Verfahren, Heilsverfahren"
"головно́й","Kopf-, der vordere, Vorder-, Vor-"
"столи́чный","hauptstädtisch, Hauptstadt-"
"коне́чный","endlich, final; End-"
"жени́х","Bräutigam, Freier; Verlobter; Bewerber; Freier"
"нату́ра","Natur, Naturell, Wesensart"
"докла́дывать","berichten, melden, informieren; hinzufügen, dazulegen, nachlegen"
"внести́","eintragen; einbringen, dazutun; hineintragen"
"се́льский","dörflich, ; ländlich; Dorf-, Land-"
"неле́пый","unsinnig, widersinnig, blödsinnig; absurd, abstrus; lächerlich"
"ма́ска","Maske, Larve"
"ко́нкурс","Wettbewerb, Preisausschreiben; Konkurs"
"техноло́гия","Technologie"
"прое́хать","vorbeifahren; durchfahren; durchreisen, zurücklegen"
"революцио́нный","revolutionär, Revolutions-"
"ю́ность","Jugend"
"рёв","Brüllen, Heulen, Gebrüll, Tosen, Geheul"
"сиби́рь","Sibirien"
"ад","Hölle, Inferno"
"струя́","Strahl, Strömung"
"го́рдый","stolz"
"ви́деться","sich kurz sehen; sich treffen"
"непосре́дственно","unmittelbar, direkt, natürlich, unbefangen"
"му́чить","quälen, plagen, peinigen"
"аккумуля́тор","Akkumulator"
"нетерпели́вый","ungeduldig"
"Берли́н","Berlin"
"кисть","Hand; Pinsel; Traube; Quaste"
"проведе́ние","Durchführung"
"ста́вка","Einsatz; Satz, Tarif, Taxe; Quartier"
"про́вод","Leitung, Draht, Kabel"
"прово́д","Leitung, Draht, Kabel"
"нарисова́ть","zeichnen, aufzeichnen, skizzieren; malen"
"сдава́ть","ablegen, abgeben, bestehen; überlassen, übergeben, vermieten; nachlassen"
"передово́й","fortschrittlich, fortgeschritten; Vorder-, vorderster, führend"
"стрельба́","Schießen, Beschuß, Beschießung, Schießerei"
"исполня́ть","ausführen, durchführen, erledigen, verrichten, verwirklichen; erledigen, aufführen, darbieten, darstellen, vorführen, vortragen"
"рекла́ма","Reklame, Werbung, Werbeanzeige"
"коменда́нт","Kommandant, Hausverwalter"
"оторва́ться","sich losreißen, sich lösen; abreißen, wegreißen, abgehen"
"премье́ра","Premiere, Erstaufführung, Uraufführung"
"повора́чиваться","sich umdrehen, sich wenden"
"поцелу́й","Kuss"
"нехорошо́","nicht gut, ; schlecht"
"прогу́лка","Spaziergang, Spazierfahrt; Ausflug"
"Япо́ния","Japan"
"наро́чно","absichtlich, mit Absicht, eigens, extra, zum Spaß; mutwillig, vorsätzlich"
"орёл","Adler"
"приступи́ть","beginnen, anfangen, in Angriff nehmen; herantreten"
"те́хник","Techniker, Ingenieur"
"прогре́сс","Fortschritt"
"но́венький","nagelneu"
"тру́дность","Schwierigkeit; Beschwernis, Mühe"
"каза́рма","Kaserne"
"наби́тый","vollgestopft, prall gefüllt, prallvoll"
"часово́й","Uhr-, Uhren-; einstündig, stundenweise, Stunden-; Wache, Wachpsten"
"нар","Nar, Kamelhybrid"
"кислота́","Säure"
"пло́тно","dicht, kompakt, kräftig; eng, fest, stramm"
"удиви́ть","überraschen, ; erstaunen; verwundern"
"защити́ть","beschützen, in Schutz nehmen; verteidigen"
"ю́бка","Rock"
"внача́ле","anfangs, am Anfang, zu Beginn"
"промолча́ть","schweigen"
"по́лдень","Mittag"
"расте́рянно","ratlos, fassungslos, verstört, verwirrt, perplex"
"овра́г","Schlucht; Hohlweg"
"неприя́тно","unangenehm, peinlich, ärgerlich"
"пешко́м","zu Fuß"
"достига́ть","erreichen, erlangen; erzielen"
"че́реп","Schädel"
"дове́рие","Vertrauen; Kredit"
"предоста́вить","überlassen, bereitstellen, zur Verfügung stellen, ermöglichen; gewähren, geben, überlassen, erteilen, ermöglichen, zuweisen"
"отня́ть","wegnehmen, abnehmen, rauben, entziehen; abziehen, subtrahieren"
"ро́жа","Rotlauf, Wundrose, Erysipel; Fresse, Fratze"
"тала́нтливый","talentiert, begabt, talentvoll"
"каю́та","Kajüte; Kabine"
"си́мвол","Symbol, Sinnbild; Zeichen"
"да́та","Datum"
"промы́шленный","Industrie-, industriell"
"фи́зика","Physik"
"неудо́бно","unbequem, ungünstig, es ist unbequem, es ist ungünstig, es ist peinlich, es ist nicht angebracht, es schickt sich nicht"
"регио́н","Region"
"игру́шка","Spielzeug"
"шепта́ть","flüstern, raunen, wispern"
"прозвуча́ть","ertönen, erschallen, eine Zeitlang tönen; erklingen"
"сни́ться","träumen"
"стыд","Scham; Schande"
"матро́с","Matrose, Seemann"
"проти́вный","widerlich, abstoßend, ekelhaft, widerwärtig; entgegengesetzt, gegenteilig"
"поклони́ться","sich verbeugen, sich verneigen; grüßen, grüßen lassen"
"испо́ртить","verderben, verpfuschen, versauen; beschädigen, kaputtmachen, ruinieren; verschlechtern, vermiesen, vermasseln, madig machen"
"оказа́ть","erweisen, bezeigen; leisten"
"пуга́ть","erschrecken, ängstigen, einschüchtern"
"му́тный","trübe, getrübt, matt, glanzlos"
"отложи́ть","beiseite legen, weglegen, zurücklegen; verschieben, aufschieben, hinauszögern; aufschieben"
"гара́ж","Garage"
"жрать","fressen, verschlingen, schlucken"
"вы́пилить","aussägen"
"фю́рер","der Führer"
"вступа́ть","eintreten; beitreten"
"отча́янный","verzweifelt, tollkühn, verwegen, waghalsig; hoffnungslos, "
"вы́жить","am Leben bleiben, überleben; herausekeln, verjagen"
"окра́ина","Rand; Randgebiet"
"изда́тельство","Verlag"
"происше́ствие","Vorfall, Vorkommnis, Zwischenfall; Ereignis"
"извле́чь","herausholen; herausziehen, Nutzen ziehen"
"ноль","null, Null"
"прихо́д","Ankunft, Eintreffen, Zugang; Pfarrgemeinde, Pfarrei, Pfarre; kurzer Besuch"
"пре́мия","Prämie, Preis, Leistungsprämie"
"ча́йник","Teekanne, Teekessel; Neuling, Dummie, Grünschnabel"
"прихо́жая","Hausflur, Korridor; Vorraum, Vorzimmer, Diele"
"сосу́д","Behälter, Gefäß"
"свести́","hinabführen, herunterführen; zusammenführen, zusammenbringen; sich zusammenkrampfen, sich zusammenziehen; zurückführen, reduzieren, entfernen"
"проводи́ться","stattfinden, durchgeführt werden, abgehalten werden"
"отказа́ть","ablehnen, absagen; versagen"
"о́гненный","feurig, Feuer-"
"зде́шний","von hier; hiesig"
"косо́й","schief, schräg, scheel; schielend, schieläugig"
"котело́к","Kochgeschirr; Kessel"
"безусло́вно","unbedingt; zweifellos"
"влезть","hineinklettern, eindringen, einsteigen; hinaufklettern, hinaufkriechen"
"ю́мор","Humor"
"о́круг","Bezirk, Kreis; Umkreis"
"забро́сить","werfen; vernachlässigen; auswerfen"
"хор","der Chor; der Chorus"
"бока́л","Becher, Glas; Pokal"
"Ло́ндон","London"
"запо́лнить","ausfüllen"
"маши́нка","Maschinchen"
"щит","Schild, Tafel; Panzer, Schutzschild"
"рюкза́к","Rucksack"
"вытира́ть","abwischen; abtrocknen"
"фанта́зия","Phantasie, Einbildungskraft, Phantasiegebilde, Trugbild, Phantasterei, Einfall, Grille, Laune, Fantasie, Improvisation"
"учёт","Erfassung, Berücksichtigung; Rechnungswesen, Statistik; Registrierung, Eintragung; Bestandsaufnahme, Inventur"
"сверка́ть","blitzen, aufblitzen; funkeln, glitzern"
"ткнуть","hineinstossen, hineinstecken, einstecken; weisen, zeigen"
"благода́рный","dankbar"
"молчали́вый","schweigsam, stillschweigend"
"отста́ть","zurückbleiben; ablassen, weg bleiben, in Ruhe lassen; verschwinden, sich ablösen, abgehen"
"мероприя́тие","Veranstaltung; Maßnahme"
"дели́ться","teilen, eingeteilt werden, mitteilen, teilen, untereinanderteilen, teilbar sein"
"траге́дия","Tragödie"
"чудо́вищный","monströs; ungeheuerlich, abscheulich, ungeheuer"
"трясти́","schütteln, rütteln, hin und her schwingen, ausschütteln, ausschütten; zittern"
"разверну́ться","sich auftun, ausrollen; wenden, eine Wendung machen, sich kehren, sich umformieren; sich im rechten Licht zeigen"
"награ́да","Auszeichnung, Belohnung, Lohn, Prämie, Preis"
"партнёр","Partner, Mitspieler, Gegenspieler"
"соотве́тственно","gemäß, entsprechend"
"отступа́ть","zurückweichen, weichen, sich zurückziehen, zurücktreten, wegtreten; abweichen"
"провали́ться","scheitern, misslingen, fehlschlagen, durchfallen; einstürzen, einbrechen, hineinfallen; verschwinden"
"отпуска́ть","gehen lassen, loslassen, freilassen, lassen; beurlauben, entlassen; nachlassen; wachsen lassen"
"вопль","Schrei, Wehklagen, Geheul, Gejammer, Klageruf"
"переры́в","Unterbrechung; Pause, Unterrichtspause"
"проща́ться","sich verabschieden, Abschied nehmen, Lebewohl sagen"
"принима́ться","sich vornehmen, angehen, sich daran machen; Wurzeln schlagen; sich jmdn vorknöpfen"
"на́бережная","Uferpromenade, Strandpromenade, Uferstraße"
"пы́льный","staubig, bestaubt"
"руга́ть","schimpfen, beschimpfen"
"воспита́ние","Erziehung"
"весе́нний","Frühlings-, Frühjahrs-"
"недоуме́ние","Erstaunen, Befremden"
"огляде́ться","sich umblicken, um sich blicken, sich umsehen, sich zurechtfinden"
"казённый","fiskalisch; Staats-, Staatskassen-"
"проявля́ть","zeigen, bekunden, bezeigen, äußern; entwickeln"
"преподава́тель","Lehrer, Lektor"
"пригово́р","Urteil; Verurteilung"
"ста́до","Herde"
"кали́тка","Tor, Pforte, Zauntür"
"трево́жный","beunruhigt, unruhig; beunruhigend, alarmierend, besorgniserregend; verstörend, beängstigend"
"торгова́ть","handeln, verkaufen; geöffnet haben, geöffnet sein"
"ко́пия","Kopie, Abschrift, Zweitschrift, Abzug"
"отнести́","hinbringen, hinschaffen, fortbringen; anlasten, anrechnen, zurechnen, zuschreiben"
"гениа́льный","genial"
"ла́сковый","liebevoll, zärtlich, sanft"
"ви́ца","biegsamer Zweig, Rute"
"увеличе́ние","Erhöhung, Vermehrung, Anstieg, Vergrößerung; Zunahme, Zuwachs, Steigerung"
"стреми́тельно","schnell, rasch, rapide, zügig; heftig, ungestüm"
"мада́м","Dame"
"унести́","forttragen, fortbringen, wegschaffen, tragen, forttreiben, wegschwemmen fortwehen"
"кати́ться","rollen, kugeln, sich wälzen, fließen"
"раздели́ть","teilen, aufteilen, dividieren, einteilen, unterteilen; trennen, zerteilen, verteilen"
"гла́дкий","glatt, eben; ungemustert; einfarbig"
"греме́ть","donnern, dröhnen; klappern, klirren; erschallen, ertönen, sich verbreiten"
"наслажде́ние","Genuss; Wonne"
"таба́к","Tabak"
"ко́смос","Kosmos, Weltall, Weltraum"
"придава́ть","zugeben, hinzufügen, einflößen; beimessen, beigeben"
"катастро́фа","Katastrophe, Katastrophenfall, Unglück"
"изба́виться","sich befreien, sich retten, entrinnen; sich entledigen, loswerden, loskommen"
"командиро́вка","Dienstreise, Geschäftsreise; Abkommandierung"
"плю́нуть","spucken, speien, anspucken"
"убеди́ть","überzeugen, überreden"
"холоди́льник","Kühlschrank, Kühlraum, Kühlwagen"
"рассчита́ть","rechnen, sich verlassen; berechnen, ausrechnen, abzählen; entlassen, entlohnen"
"вы́гнать","hinaustreiben, hinausjagen, wegjagen; destillieren"
"пройти́сь","spazieren, spazierengehen; durchgehen"
"зажа́ть","zusammendrücken, zusammenpressen, zudrücken, zuhalten; einklemmen, festklemmen, einspannen; unterdrücken"
"прижа́ться","sich drücken, sich schmiegen"
"подхо́д","Herantreten, Heranrücken, Anmarsch; Zugang, Herangehensweise; Zugangsweg, Zugang"
"цепо́чка","Kette, Halskette"
"за́висть","Neid"
"де́йствующий","handelnd, wirkend; wirksam, gültig, geltend"
"гул","Getöse, Lärmen"
"короле́вский","königlich, Königs-"
"зерно́","Korn, Getreide"
"му́читься","sich quälen, leiden; sich plagen, geplagt sein"
"комме́рческий","kommerziell; Handels-, "
"пустя́к","Kleinigkeit, Bagatelle, Lappalie"
"класси́ческий","klassisch"
"котёл","Kessel"
"таково́й","derartig(er), solcher, dieser, solch ein(er)"
"оби́дно","schmerzlich, kränkend"
"подря́д","hintereinander, der Reihe nach, nacheinander; Auftrag, Vertrag, Kontrakt"
"сту́кнуть","klopfen, anklopfen, pochen, hämmern; schlagen; verklopfen, denunzieren"
"свиде́тельствовать","bezeugen, bestätigen, beglaubigen, visieren (beglaubigen, dt. alt), bescheinigen, attestieren"
"скрыть","verbergen, verschleiern, verhüllen, verstecken; verheimlichen, verschweigen, geheim halten"
"хо́ббит","Hobbit"
"флаг","Flagge"
"наблюда́ться","beobachtet werden; zu beobachten sein"
"ступа́ть","schreiten, treten"
"пионе́р","Pionier, Bahnbrecher"
"повы́шенный","erhöht, erhoben, gesteigert"
"мане́ра","Manier, Art und Weise"
"злость","Bosheit, Wut, Zorn"
"поко́нчить","abschließen, beenden, erledigen, Schluß machen"
"жа́лоба","Klage; Beschwerde, "
"положи́тельный","positiv"
"двойно́й","doppelt, zweifach, Doppel-"
"популя́рный","populär; beliebt, angesehen"
"уче́ние","Schulung, Studium, Übung; Lehre, Lernen"
"меда́ль","Medaille"
"открове́нно","offen, unumwunden"
"шпио́н","Spion"
"сезо́н","Saison, Jahreszeit; Staffel"
"прише́лец","Zuwanderer, Ankömmling; Außerirdischer, Alien"
"пове́рх","über, oberhalb"
"мелька́ть","flimmern, schimmern; aufleuchten, aufblitzen; auftauchen und wieder verschwinden, vorbeihuschen"
"одева́ться","sich anziehen, sich kleiden"
"ки́нуть","werfen, schleudern; betrügen, täuschen"
"танцо́р","Tänzer"
"преиму́щество","Vorteil; Vorrang, Präferenz, Privileg, Vorzug"
"завали́ть","versagen, durchfallen; verschütten, zuschütten, überhäufen"
"дёрнуть","ziehen, zupfen, reißen, ruckartig bewegen; nerven, zerren; reinziehen, süffeln"
"о́блик","Habitus, Erscheinungsbild, Wesenszüge, Charakter, Denkweise, Haltung"
"фо́рмула","Formel"
"сыно́к","kleiner Sohn"
"беспоко́ить","beunruhigen, Sorgen machen; stören, belästigen"
"раздава́ться","ertönen, erklingen, erdröhnen; in die Breite gehen, sich ausweiten"
"хрони́ческий","chronisch"
"неуве́ренный","unsicher"
"мк","Mikrometer; Seefahrtfachschule; Millikelvin; Magnetkarte; Magnetkurs; Tonbandkassette; Kleinkaliber-"
"намёк","Anspielung, Andeutung, Wink"
"кома́ндование","Kommando, Leitung, Truppenführung"
"убеждённый","überzeugt, sicher"
"заста́ть","antreffen, vorfinden; ertappen, erwischen"
"протя́гивать","ausstrecken, reichen; ziehen, strecken, in die Länge ziehen; langsam sprechen, gedehnt sprechen"
"грек","Grieche"
"оборо́т","Umdrehung, Umlauf, Zirkulation; Umsatz, Umschlag; Wendung, Rückseite"
"прилете́ть","herbeifliegen, kommen, ankommen"
"те́рмин","Terminus, Fachbegriff, Fachwort, Fachausdruck"
"де́нежный","Geld-"
"извиня́ться","sich entschuldigen"
"неподви́жно","unbeweglich, regungslos, starr"
"пога́снуть","erlöschen, ausgehen"
"чече́нский","tscheschenisch"
"оби́деть","beleidigen, kränken"
"идеа́л","Ideal"
"марш","Marsch"
"реши́тельный","entschieden, kategorisch, fest, entscheidend, entschlossen"
"уме́ние","Fähigkeit, Fertigkeit; Können, Geschicklichkeit"
"волнова́ть","aufregen, in Aufregung bringen, Sorgen machen, bewegen; beunruhigen"
"стро́йный","schlank, harmonisch, geordnet, gut aufgebaut, logisch; gut gebaut"
"стихотворе́ние","Gedicht"
"возбуди́ть","erregen, anregen; hervorrufen, erwecken, "
"торже́ственный","feierlich, festlich, pompös; Fest-"
"не́кого","niemand"
"прохо́жий","vorbeigehen; durchgehen"
"психологи́ческий","psychologisch"
"покупа́тель","Käufer, Kunde"
"безнадёжный","hoffnungslos"
"споко́йствие","Ruhe, Stille, gute Gelassenheit"
"сгоре́ть","verbrennen, ausbrennen, abbrennen"
"располага́ться","sich niederlassen, sich einrichten, es sich bequem machen; sich plazieren, sich aufstellen, stationieren, campen, gelegen sein, liegen, sich befinden; sich sympathisch sein, Symphatie empfinden"
"нефть","Erdöl"
"жела́ющий","willig, begierig"
"ве́на","Vene, Blutader"
"тра́ктор","Traktor"
"разноцве́тный","vielfarbig, bunt"
"килогра́мм","Kilogramm"
"э́такий","so ein, ein derartiger, eine Art von"
"прони́кнуть","eindringen, vordringen; durchdringen"
"слы́шный","hörbar, vernehmbar"
"заже́чь","anzünden, entzünden; in Stimmung bringen, begeistern, inspirieren"
"Эсто́ния","Estland"
"очути́ться","geraten, gelangen"
"ока́зывать","erweisen, bezeigen; leisten, angedeihen lassen"
"любопы́тный","neugierig; interessant"
"добы́ча","Förderung, Abbau, Gewinnung; Beute, das Erbeutete"
"роско́шный","luxuriös, Luxus-; prachtvoll, prunkvoll, üppig, Pracht-"
"е́жели","wenn; falls, sofern"
"вози́ть","herumfahren, befördern, kutschieren"
"обы́чай","Brauch, Sitte, Gepflogenheit, Usus; Gewohnheit"
"опубликова́ть","veröffentlichen"
"мотоци́кл","Motorrad"
"кни́жный","Buch-, Bücher-; Buchhandlung"
"разби́ть","zerschlagen, zerbrechen; aufschlagen, ausbreiten, anlegen; in Stücke brechen, teilen, aufteilen"
"ва́нна","Badewanne, Wanne; Bad"
"продолже́ние","Fortsetzung; Erweiterung, Extra, Zusatz"
"политбюро́","Politbüro"
"диск","Scheibe, Platte, Disk; Diskus"
