"козёл","male-goat, billy-goat; Asshole"
"р́ослый","tall, stalwart, strapping"
"подполќовник","lieutenant-colonel"
"разр́ушить","destroy; ruin"
"аэроп́орт","airport"
"́издали","from a distance"
"длин́а","length"
"заб́ытый","lost, forgotten"
"авторит́ет","authority"
"м́ысленно","mentally"
"принц́есса","princess"
"т́уфля","dress shoe"
"тасќать","to carry or to drag; to pull ( hair ); to steal"
"нанест́и","inflict or cause; apply put on a layer; pay a visit; To strike or hit"
"м́удрый","wise, sage"
"ветвь","branch"
"кр́изис","crisis"
"д́ескать","they say... / he or she says... / allegedly..."
"остор́ожный","careful, cautious, wary, prudent"
"пожел́ать","wish, desire, covet"
"отъ́езд","departure"
"кгб","KGB ( * State Security Committee)"
"накр́ыть","cover; set"
"зал́ить","to cover when pouring, to pour on, to spill; to fill up (with liquid); to flood (in terms of bodies of water); (computing, slang) to upload"
"нер́едко","not infrequently, quite often; often"
"пр́едок","ancestor, forefather"
"ж́идкость","liquid, fluid"
"орќестр","orchestra(a large group of musicians who play many different instruments together and are led by a conductor), brass band, orchestra-pit"
"дыр́а","а crack breach or emptiness in something; (colloquial) A city village etc remote from the centers of culture; hole"
"по́есть","eat, take some food"
"год́иться","be good for, serve, do, be of use, fit, suitable"
"волш́ебник","wizard, magician, sorcerer"
"счесть","to count/consider or perceive as"
"скрыв́аться","hide"
"обвин́ение","accusations charges allegations"
"бред","nonsense"
"рис","rice, paddy"
"стар́ательный","diligent, assiduous, painstaking; industrious"
"маршр́ут","route, itinerary"
"привяз́ать","to tie to, bind, fasten, tether, attach"
"м́аршал","marshal"
"д́ошлый","cunning, shrewd"
"зав́идовать","envy, be envious"
"большев́ик","Bolshevik"
"сп́инка","diminutive of back; back of furniture"
"аж","even / all the way (as a filler word to emphasise the statement); as many as / as much as / as long as"
"общеж́итие","dormitory"
"предст́авиться","present itself, arise, occur; seem; introduce oneself"
"определ́ение","definition"
"см́ертный","mortal death deadly fatal (adj)"
"спал́ить","incinerate, burn, burn down, reduce to ashes, scorch, singe"
"гад","vile person (bastard), monster; loathsome critter (crawler, reptile)"
"м́едный","copper"
"традици́онный","traditional"
"рван́уть","to jerk; to take off (rush); explode"
"размышл́ять","to ponder, reflexionar"
"прибл́изиться","approach"
"прилож́ить","to apply, to use; put in effort; to put (next to); to attach, to enclose, to join; (colloquial) to smack, to whack"
"хл́опать","slam; slap; clap"
"ерунд́а","nonsense, rot, rubbish, trifle, nothing"
"пр́иступ","assault or attack"
"кр́епость","stronghold; fortress"
"треск","A sharp sound from something cracked/burst/broken"
"интервь́ю","interview"
"с́умерки","twilight"
"проводн́ик","guide, conductor, guard, bearer, champion"
"демократ́ический","democratic"
"под́обно","like"
"уч́ительница","teacher"
"конв́ерт","envelope, cover, sleeping bag"
"анекд́от","anecdote, funny story, joke"
"изобраз́ить","depict"
"физион́омия","physionomy"
"обиж́аться","to take offense be offended"
"видн́еться","to be seen or can be seen"
"трамв́ай","tram, tramway, street railway, tram-car, street-car"
"в́ылететь","fly out, take off, dash out, dart out, rush out, be given the sack"
"кварт́ал","quarter/block (of year/city)"
"риск","risk"
"друж́ок","(dear) friend; buddy, pal, boyfriend"
"с́емьдесят","seventy"
"кол́ючий","prickly thorny (прилагательный)"
"военно","militarily"
"прыж́ок","jump"
"ф́абрика","factory"
"отмеч́ать","to celebrate; mark, note, mark off, mention, register"
"обол́очка","shell, cover, jacket, envelope, casing, capsule, form, appearance, ; membrane"
"опис́ание","description"
"свид́етельство","evidence, testimony, illustration, certificate, licence"
"взор","gaze"
"адвоќат","advocate, counsellor, ; lawyer, attorney, barrister, solicitor, "
"раскр́ытый","exposed; disclosed"
"ж́уткий","creepy, eerie, spooky; terrible, horrible, horrific"
"наст́аивать","to insist"
"завед́ение","institution, establishment"
"восстанов́ить","to restore"
"рядов́ой","private (military rank); ordinary person"
"покид́ать","leave abandon forsake"
"арх́ив","archive"
"серд́иться","be angry"
"з́амысел","plan that has been thought up but not implimented"
"попал́ить","burn"
"вс́юду","everywhere"
"курс́ант","student"
"фур́ажка","peaked cap"
"февр́аль","February"
"капит́ал","capital"
"уч́итывать","take into account"
"федер́альный","federal"
"фаш́ист","fascist"
"вздых́ать","to sigh"
"полот́енце","towel"
"инстр́укция","instruction(s), direction"
"маг","magician, wizard"
"л́ужа","puddle, pool"
"нар́ужу","outside (to the outside/being limit of something)"
"т́онна","ton"
"мор́альный","moral, ethical, spiritual, mental"
"пь́еса","Play"
"раздраж́ение","irritation"
"перестав́ать","to cease/stop/quit"
"неподв́ижный","motionless"
"телев́идение","television, TV"
"осозн́ать","realize, realise"
"од́иннадцать","eleven"
"жильё","house / dwelling; habitation (an inhabited place), lodging, domicile; housing, accommodation"
"нед́олго","not long"
"шамп́анский","Champagne, related to Champagne"
"выраж́аться","express oneself"
"процед́ура","procedure"
"головн́ой","head, encephalic, cerebral, leading"
"стол́ичный","capital"
"кон́ечный","ultimate final end (adj)"
"жен́их","fiancé (male)"
"нат́ура","nature, model, sitter"
"докл́адывать","to report"
"внест́и","to bring in, carry in, make; to pay in; to bring in/about cause introduce; to enter, insert, include; to put forward, submit, table"
"с́ельский","rural"
"нел́епый","ridiculous, absurd, odd, nonsensical, incongruous"
"м́аска","mask, deathmask"
"ќонкурс","competition"
"технол́огия","technology"
"про́ехать","pass, ride, pass by, drive by, ride by, do, make, exercise, spend on travelling"
"революци́онный","revolutionary"
"́юность","youth, young people"
"рёв","roar, bellow, howl; whine"
"сиб́ирь","Siberia"
"ад","hell, Hades, the Underworld"
"стру́я","stream, jet, spurt, spirt, current"
"ѓордый","proud"
"в́идеться","see each other"
"непоср́едственно","immediately; directly (in a straightforward way); just"
"м́учить","to torture"
"аккумул́ятор","battery"
"нетерпел́ивый","impatient"
"Берл́ин","Berlin"
"кисть","brush"
"провед́ение","implementation/undertaking, conducting, carrying out"
"ст́авка","rate, salary; bet; stakes"
"пр́овод","wire, lead, conductor"
"пров́од","wire, lead, conductor"
"нарисов́ать","to draw; to paint"
"сдав́ать","rent out, let out, handover; take an exam, pass an exam; turn in to the authorities; give, distribute, donate"
"передов́ой","advanced; progressive; forward, foremost, headmost"
"стрельб́а","a shooting; the action of shooting"
"исполн́ять","fulfill; to perform"
"рекл́ама","advertisement"
"коменд́ант","commandant superintendent in charge of a building"
"оторв́аться","come off, tear off; take off; tear oneself away, take a break from, (let 's) break away; lose touch"
"премь́ера","premiere, new production"
"повор́ачиваться","turn, swing, change, turn around"
"поцел́уй","kiss"
"нехорош́о","it is bad, it is wrong, badly"
"проѓулка","walk, stroll"
"Яп́ония","Japan"
"нар́очно","on purpose"
"орёл","eagle"
"приступ́ить","to start something"
"т́ехник","technician, technically qualified person"
"прогр́есс","progress"
"н́овенький","new, brand-new"
"тр́удность","difficulties; hardships"
"каз́арма","barracks, barn"
"наб́итый","Full, well packed, stuffed, crowded, congested, packed with"
"часов́ой","(relatioal) clock, watch, hour; hourly, one-hour, ; sentry, sentinel"
"нар",""
"кислот́а","sourness, acidity, acid"
"пл́отно","tightly"
"удив́ить","surprise, astonish, amaze"
"защит́ить","defend or protect, speak in support, stand up, plead for"
"́юбка","skirt"
"внач́але","at first in the beginning (adv)"
"промолч́ать","to remain silent; to remain quiet for some period of time; to avoid answering by remaining quiet"
"п́олдень","mid day"
"раст́ерянно","perplexedly"
"овр́аг","ravine"
"непри́ятно","it is unpleasant, unpleasantly"
"пешќом","on foot, afoot"
"достиѓать","to reach get to; to attain, to achieve"
"ч́ереп","skull, cranium"
"дов́ерие","trust"
"предост́авить","to grant, to provide"
"отн́ять","take away, take, bereave, amputate, subtract"
"р́ожа","(derogatory) face, mug"
"тал́антливый","talented, gifted, clever"
"ка́юта","cabin (on a ship); state-room, stateroom"
"с́имвол","symbol"
"д́ата","date"
"пром́ышленный","industrial, manufactured, manufacturing"
"ф́изика","physics"
"неуд́обно","it is inconvenient, uncomfortably"
"реги́он","region"
"игр́ушка","toy, plaything"
"шепт́ать","whisper"
"прозвуч́ать","to sound like, sound out"
"сн́иться","to dream"
"стыд","shame, lastima"
"матр́ос","seaman, sailor"
"прот́ивный","disgusting or nasty; contrary or opposite"
"поклон́иться","bow; worship"
"исп́ортить","to spoil, to mar; to ruin, to damage, to corrupt; to deteriorate, to make worse, to mess up, to screw up, to louse up"
"оказ́ать","Render/provide (a service); Show; to exert (influence)"
"пуѓать","frighten, scare, intimidate"
"м́утный","turbid, dull, lacklustre, cloudy, muddy"
"отлож́ить","to postpone delay put off; to save, put away"
"гар́аж","garage"
"жрать","eat; devour"
"в́ыпилить","saw out; remove (slang)"
"ф́юрер","Fuhrer"
"вступ́ать","join; enter, start; march"
"отч́аянный","desperate"
"в́ыжить","survive, live it out, see it out"
"окр́аина","outskirts, outlying districts"
"изд́ательство","publishing house; Publisher"
"происш́ествие","incident"
"извл́ечь","to extract retrieve take from remove"
"ноль","nil"
"прих́од","arrival"
"пр́емия","award"
"ч́айник","teapot, kettle"
"прих́ожая","hallway, hall, entrance; anteroom / antechamber"
"сос́уд","vessel (blood vessel)"
"свест́и","take away carry away; remove; go crazy; make ends connect; cramp"
"провод́иться","hold, to carry out, to take place; has/have been held"
"отказ́ать","refuse, deny"
"́огненный","fiery, flamy"
"зд́ешний","of this place, local, here"
"кос́ой","slanting, skew, oblique, squint, squinting, squint-eyed"
"котел́ок","pot or kettle for cooking; bowler hat"
"безусл́овно","undoubtedly; certainly"
"влезть","get in, climb in, get, climb, go in; fit"
"́юмор","humor"
"́округ","disctrict region circuit; county (US or Canada)"
"забр́осить","throw, cast, hurl, shower; abandon, neglect, give up, drop"
"хор","choir; chorus"
"боќал","glass (of wine), goblet"
"Л́ондон","London"
"зап́олнить","to fill out"
"маш́инка","Machine, typewriter, sewing-machine, clipper, car"
"щит","shield, buckler, screen, snow-screen, snow-fence, sluice-gate, panel, tortoise-shell, scutum"
"рюкз́ак","backpack"
"вытир́ать","wipe dry, wipe, dry"
"фант́азия","fantasy; imagination"
"учёт","accounting/consideration; mainstreaming"
"сверќать","sparkle twinkle be flashing"
"ткнуть","to poke, to stick, to jab; to point (at), "
"благод́арный","thankful"
"молчал́ивый","not fond of talking much; understood or done without words"
"отст́ать","to lag or fall behind"
"меропри́ятие","event"
"дел́иться","to share; to be divided"
"траѓедия","tragedy"
"чуд́овищный","monstrous"
"тряст́и","shake; jolt; tremble, shiver"
"разверн́уться","to turn yourself around, unfold, come unwrapped, show oneself, display oneself, spread, deploy, expand, be expanded, turn, slew"
"нагр́ада","reward award prize"
"партнёр","partner"
"соотв́етственно","accordingly; respectively; correspondingly"
"отступ́ать","step back; retreat"
"провал́иться","fail; fall"
"отпусќать","let go"
"вопль","a yell"
"перер́ыв","interruption; interval, break, intermission"
"прощ́аться","to bid farewell"
"приним́аться","begin, start, set, strike take root, take; to be accepted"
"н́абережная","embankment, quay, sea-front"
"п́ыльный","dusty"
"руѓать","scold, rail, abuse, criticize severely"
"воспит́ание","upbringing, nurture, breeding, ; education, training"
"вес́енний","spring"
"недоум́ение","bewilderment, perplexment; perplexity"
"огляд́еться","to look around you"
"казённый","old word related to state and government"
"проявл́ять","to manifest; to show (display)"
"преподав́атель","teacher lecturer instructor; Teacher of university level"
"пригов́ор","sentence, verdict, condemnation"
"ст́адо","herd"
"кал́итка","wicket; gate"
"трев́ожный","anxious, anxiety, uneasy, uncomfortable; alarm"
"торгов́ать","to trade/deal/sell"
"ќопия","copy"
"отнест́и","to take to, carry to; to deliver"
"гени́альный","of genius, great, brilliant"
"л́асковый","affectionate, tender, sweet, caressing"
"в́ица","flexible branch / rod"
"увелич́ение","increase, augmentation, extension, expansion, magnification, enlargement"
"стрем́ительно","rapidly"
"мад́ам","madam, madame, ma'am"
"унест́и","take away, carry off, to carry away"
"кат́иться","roll"
"раздел́ить","divide, split, share"
"гл́адкий","smooth (adj)"
"грем́еть","make sound thunder/rumble/roar"
"наслажд́ение","enjoyment or delight"
"таб́ак","tobacco, tobacco-plant"
"ќосмос","cosmos"
"придав́ать","attribute, attach, assign, give; give to something  or makes it some way"
"катастр́офа","catastrophe"
"изб́авиться","to get rid of"
"командир́овка","official journey, business trip"
"пл́юнуть","spit, expectorate; don’t care, shrug off"
"убед́ить","convince, pursued"
"холод́ильник","refrigerator, fridge, wine-cooler, cold store, condenser"
"рассчит́ать","calculate"
"в́ыгнать","to kick out"
"пройт́ись","walk, stroll, take a walk"
"заж́ать","to clamp (press / squeeze), to clutch, to stop up, keep down; to suppress"
"приж́аться","to press up against something"
"подх́од","way; approach"
"цеп́очка","chain"
"з́ависть","envy"
"д́ействующий","active/valid/functioning"
"гул","rumble rumbling hum buzz"
"корол́евский","royal, regal, kingly"
"зерн́о","grain, seed, core, kernel, corn, cereals, grain crop"
"м́учиться","suffer"
"комм́ерческий","commercial"
"пуст́як","nothing/trifle/unimportant thing"
"класс́ический","classic, classical"
"котёл","cauldron, boiler, pocket"
"таков́ой","such, the same"
"об́идно","offensively, it insulting"
"подр́яд","in a row"
"ст́укнуть","hit, knock, pound, punch"
"свид́етельствовать","witness; testify, give evidence, be evidence"
"скрыть","hide conceal, dissemble, keep back, keep to oneself, cover"
"х́оббит","hobbit"
"флаг","flag, ensign"
"наблюд́аться","be observed (be discovered), observe"
"ступ́ать","to tread to step on step; (imperfective only) to leave"
"пион́ер","pioneer, Young Pioneer"
"пов́ышенный","heightened (adj)"
"ман́ера","manner, style"
"злость","anger/rage"
"поќончить","finish, finish off, be through, have done"
"ж́алоба","complaint"
"полож́ительный","positive, favourable"
"двойн́ой","double ( in quantity or size), dual"
"попул́ярный","popular"
"уч́ение","teachings/doctrine"
"мед́аль","medal"
"откров́енно","frankly, candidly, openly"
"шпи́он","spy"
"сез́он","season"
"приш́елец","alien, stranger"
"пов́ерх","over"
"мельќать","to flash"
"одев́аться","to wear clothes or to put on clothes"
"ќинуть","throw, cast, fling"
"танц́ор","dancer"
"преим́ущество","advantage/preference/privilege; Exclusive right to something"
"завал́ить","to cover or fill something; (colloquial) to fail a test; to be swamped with some work"
"дёрнуть","to pull / tug / pull out, to pull about, to move sharply, to jerk, to twitch; to pull on someone's nerves, to pester, to disturb; (low colloquial) to drink, to knock one back"
"́облик","look image or outward appearance"
"ф́ормула","formula"
"сын́ок","son, sonny"
"беспоќоить","worry, disquiet, perturb, disturb, trouble, inconvenience, cause inconvenience, put to inconvenience; bother"
"раздав́аться","come from, emanate  from; to be"
"хрон́ический","chronic"
"неув́еренный","uncertain, hesitating, insecure"
"мк","micron -> [м]и[к]рон; maritime college -> [м]орской [к]олледж; millikelvin -> (м]илли[к]ельвин; magnetic card / cassette -> [м]агнитная [к]арта / [к]ассета; small caliber -> м]а̣ло[к]алиберный"
"намёк","hint, allusion"
"ком́андование","command, headquarters"
"убеждённый","convinced"
"заст́ать","to catch (surprise)"
"прот́ягивать","stretch, reach out, stretch out, extend, offer, proffer, drawl, prolong"
"грек","Greek"
"обор́от","turn, revolution, rotation, turnover"
"прилет́еть","come by flying / arrive by air"
"т́ермин","term"
"д́енежный","money (adj)"
"извин́яться","apologize"
"неподв́ижно","motionless; still"
"поѓаснуть","turn off, to go out"
"чеч́енский","Chechen"
"об́идеть","to hurt or offend"
"иде́ал","ideal"
"марш","march, flight of stairs"
"реш́ительный","decisive, critical, resolute, firm, all-out, decided, determined"
"ум́ение","ability"
"волнов́ать","to worry or make anxious"
"стр́ойный","slender"
"стихотвор́ение","poem, rhyme"
"возбуд́ить","excite, rouse, arouse, stir, stir up, instigate, incite, raise"
"торж́ественный","solemn, festive, ceremonial; triumphant; (relational) fest, gala"
"н́екого","there is nobody one can + infinitive"
"прох́ожий","passenger"
"психолоѓический","psychologic, psychological"
"покуп́атель","buyer, purchaser, customer, client"
"безнадёжный","hopeless adj"
"споќойствие","calm, calmness, quiet, tranquility, composure"
"сгор́еть","to burn (to be consumed by fire)"
"располаѓаться","settle, make oneself comfortable; is located"
"нефть","oil, petroleum, crude oil"
"жел́ающий","one who wishes, persons interested, those who so desire; willing"
"в́ена","vein"
"тр́актор","tractor"
"разноцв́етный","multi-coloured"
"килогр́амм","kilogramme, kilogram"
"́этакий","То же что такой"
"прон́икнуть","penetrate; break in; get in"
"сл́ышный","audible"
"заж́ечь","to light (a candle, lamp, etc.)"
"Эст́ония","Estonia"
"очут́иться","find oneself, come to be"
"оќазывать","Render a service, Prestar un servicio; Show; Render, Interpretar; Reproduce, Do; to exert (influence)"
"любоп́ытный","curious"
"доб́ыча","loot/booty"
"росќошный","luxurious"
"́ежели","if"
"воз́ить","to transport/carry (by vehicle); to take someone"
"об́ычай","custom, rite; habit, practise"
"опубликов́ать","publish; make public"
"мотоц́икл","motor cycle, motor bike"
"кн́ижный","Аdjective of book; bookish, abstract"
"разб́ить","break, crash, smash, divide, lay out, pitch, set up, beat, defeat, hurt badly, fracture, space"
"в́анна","bath"
"продолж́ение","continuation"
"политбюр́о","political bureau, Politbeau"
"диск","disk, disc, discus, drum"
"сс́ылка","reference; (computing) link; exile"
"соверш́енный","perfect (adj); absolute, complete"
"цен́ить","value; appreciate; to evaluate, to estimate"
"подчинённый","subordinate, underling, dependant, under the command of"
"тёща","mother-in-law, wife's mother"
"п́алуба","deck"
"м́еньший","lesser, younger, less"
"перч́атка","glove"
"влож́ить","Invest; put in"
"в́ыбить","knock out, kick out, beat, stamp"
"кор́ейский","Korean"
"пуз́ырь","bubble; bladder"
"с́ерия","episode; series"
"приб́авить","add to; (without object and в весе/в росте) to put on weight"
"верх́овный","supreme, sovereign"
"в́ыносить","bear or stand"
"вынос́ить","to carry out; suffer"
"прост́орный","spacious, roomy, loose, wide"
"неопределённый","uncertain; undefined"
"велосип́ед","bicycle, cycle, bike, tricycle"
"косн́уться","to touch; to touch upon (in conversation)"
"рес́урс","resources, resource"
"задых́аться","to suffocate"
"эффект́ивный","effective adj"
"тетр́адь","notebook, writing-book, exercise-book, copy-book, part"
"хран́иться","be kept, stored"
"злов́ещий","ominous, sinister, boding ill, uncanny"
"абсол́ютный","absolute, perfect, utter"
"ж́ажда","thirst; lust (craving)"
"посто́ялый","resident"
"́алый","crimson; scarlet"
"разорв́ать","tear apart; to break (ties)"
"м́усор","garbage, trash, debris, rubbish, sweepings, dust, refuse, police (slang)"
"пет́ух","rooster/cock; faggot, prison fag"
"порош́ок","powder"
"религи́озный","religious, pious"
"донест́ись","reach ears, be heard, waft"
"перехват́ить","to intercept"
"раст́ение","plant"
"восприним́ать","take; perceive"
"уд́ав","boa, boa constrictor"
"башм́ак","shoe, boot; chock"
"сего","this"
"л́ыжа","ski"
"пропаѓанда","propaganda, popularization"
"руковод́ить","lead, to manage, to run (to conduct or direct with authority); be in charge"
"задерж́аться","stay long, linger; be delayed"
"бык","bull; agressive person; strong man"
"б́ешеный","rabid, mad; furious, frantic"
"сниж́ение","lowering, reduction, decrease, deterioration, demotion"
"оп́асно","dangerously, perilously"
"пасть","to fall"
"плач","crying"
"переверн́уть","to turn / turn around; to turn inside out; to overturn / turn over; to turn upside down"
"тип́ичный","typical, characteristic, model"
"сал́он","salon"
"надев́ать","to put on (clothes)"
"замеч́ание","remark; reprimand"
"беспоќойство","anxiety or restlessness; concern"
"бр́атец","brother, my boy"
"увезт́и","carry off, kidnap, abduct, steal, lift; take away"
"наруш́ать","violate; to disrupt"
"выходн́ой","to be available"
"заверн́уть","wrap"
"гост́иный","living room, parlor"
"обор́удование","equipment"
"буф́ет","canteen, bar, counter"
"аргум́ент","argument"
"рекомендов́ать","recommend, advise; (obsolete) introduce"
"лёт","flight"
"пр́аздничный","holiday"
"спуст́ить","to lower"
"набир́ать","to gain, put on; type / dial"
"неож́иданность","surprise; unexpectedness"
"цирк","circus"
"светл́о","it is light, brightly, bright, daylight"
"зараб́атывать","earn"
"луг","meadow"
"перевод́ить","transfer, move, take, remit, send through the bank, convert, move up into the next form, translate, interpret, exterminate, use up, dissipate, squander, shift; translate; take out of the bank"
"подозр́ительный","suspicious"
"инвал́ид","invalid, disabled person"
"исх́од","outcome, exit, way out"
"обрест́и","find aquire or gain"
"нен́ужный","unnecessary, needless, useless"
"бюр́о","bureau"
"отд́ельно","separately"
"бедр́о","hip, haunch; thigh, "
"допусќать","to admit; to accept, to permit, to allow, to tolerate; to assume; to let happen"
"квадр́атный","square"
"подр́обно","in detail, at length, minutely"
"сжать","squeeze; compress"
"вздох","sigh breath out"
"з́елень","greenery, verdure, greens, vegetables, green, vert"
"освобожд́ение","liberation, emancipation, release, discharge, deliverance, vacation; exemption"
"покос́иться","sink to one side, be lop-sided; to squint, to look asquint, to look sideways, to cast a sideways look"
"прест́упный","criminal, felonious"
"сел́о","village; A large peasant settlement is an economic and administrative center for the surrounding villages (in pre-revolutionary Russia a church was also a mandatory part of such a settlement)."
"отступ́ить","to step back; retreat"
"аэродр́ом","airfield, aerodrome, airdrome"
"чин","rank"
"влюблённый","in love ( couple-n)"
"расстегн́уть","undo or unfasten unbutton"
"пл́емя","Tribe"
"л́агерный","(relational) camp"
"мышь","mouse"
"гр́убо","roughly, coarsely, rudely, crudely"
"ш́уба","fur coat"
"вс́адник","rider, horseman"
"д́оступ","access, admittance, admission; domain"
"крюч́ок","hook; fish hook; crochet needle"
"упер́еться","to rest (against), to set (against); to be hampered, to be held back, to hinge (on); to run into, come up against; to jib, to balk, to refuse"
"небр́ежно","carelessly"
"очев́идный","obvious (adj)"
"медиц́ина","medicine"
"крут́иться","to spin twist rotate (reflexive)"
"боев́ик","hit; action movie"
"осв́едомиться","inquire"
"др́огнуть","tremble, shiver, flinch, waver"
"пос́ольство","embassy"
"бум́ажный","paper"
"прикрыв́ать","cover, to close (but not tightly)"
"пребыв́ание","stay; tenure"
"ќончик","(colloquial) tip (sharp/narrow end of something"
"упомян́уть","mention, refer to"
"вцеп́иться","seize, catch hold, clutch, cling"
"милли́ард","billion"
"напеч́атать","to print; to type"
"мон́ета","coin"
"свист","whistle"
"нисќолько","not at all, not in the least, none at all"
"сол́идный","solid reliable respectable"
"шерсть","wool; fur"
"предполож́ение","assumption; (outdated) a preliminary intention/plan"
"ст́алинский","Stalinist, related to Stalin"
"раздраж́ать","annoy/irritate"
"п́овар","cook; chef"
"тварь","Creature"
"торж́ественно","solemnly; triumphantly"
"уточн́ить","to clarify"
"каз́ак","Cossack"
"обесп́ечивать","to provide"
"неуд́ача","failure misfortune bad luck"
"электр́онный","electronic"
"приглаш́ение","invitation, invitation card, offer"
"размышл́ение","ponderance, reflection, thought, musing"
"гр́адус","degree( temperature )"
"шќольник","schoolboy"
"зас́унуть","put in, push in, shove in, thrust in"
"предсто́ящий","upcoming"
"биогр́афия","biography"
"симпат́ичный","attractive; nice"
"дровос́ек","wood-cutter; lumberjack"
"кр́итика","criticism, critique"
"об́едать","to eat lunch"
"кит́аец","Chinese man, the Chinese"
"филос́офия","philosophy"
"заодн́о","at the same time"
"в́идный","visible, conspicuous, eminent, distinguished, notable, prominent, handsome, stately"
"наб́ор","collection; set"
"п́ошло","vulgarly"
"заѓадка","riddle; mystery"
"характер́истика","а description or characteristic"
"прожив́ать","to reside; to live (formal)"
"фантаст́ический","fiction; fantastic, fabulous"
"расст́аться","to part/leave/seperate/break up"
"по́эзия","poetry"
"англич́анин","Englishman"
"бин́окль","binocular, pair of glasses"
"благопол́учно","safely; Successfully; Well"
"бесп́омощный","helpless"
"кол́одец","well"
"седл́о","saddle"
"укра́инский","Ukrainian"
"пов́язка","bandage; armband; eye-patch"
"ќорточки","squat; hunkers"
"существ́ующий","existing"
"темн́еть","get dark"
"зад́умать","to think of; to devise"
"пор́ыв","impulse; gust(wind)"
"проб́ить","penetrate; break through; struck"
"вгл́ядываться","peer"
"гран́ата","grenade, (high-explosive) shell, "
"италь́янский","Italian"
"х́утор","khutor (farm, farmstead); hamlet"
"комсом́ольский","Komsomol"
"непоср́едственный","immediate; direct"
"ѓусто","thickly, densely"
"ч́увствоваться","be felt"
"практ́ический","practical, pragmatic"
"воспал́ение","pneumonia; inflammation"
"добавл́ять","add, contribute"
"паци́ент","patient"
"доб́ыть","to get"
"подъ́ехать","arrive"
"печ́ально","sadly, regrettably, unfortunately"
"п́алочка","line, stroke, bacillus; stick; chopsticks"
"р́азвитый","advanced developed"
"граф́а","column; paragraph"
"поќупка","buying, purchasing, shopping"
"объявл́ение","Announcement"
"рос́а","dew"
"сдв́инуть","move, push together, shift"
"без́умный","crazy/mad/insane"
"вороб́ей","sparrow"
"простын́я","sheet, bed-sheet"
"Од́есса","Odessa, Odesa"
"десятил́етие","decade"
"направл́яться","be headed, be directed"
"на́учно","scientifically, science"
"невыс́окий","not high"
"дрем́ать","doze, slumber, nod, dawdle, dally"
"корз́ина","basket"
"петл́я","hinge; noose; run in a stocking"
"бол́езненный","painful"
"камп́ания","campaign"
"всп́ышка","flash"
"наказ́ать","punish"
"гнезд́о","nest"
"столкн́уться","bump into; run into; come across paths; to face, enounter"
"н́ежно","tenderly, delicately"
"вмеш́аться","interfere, intervene (4)"
"л́ысый","Bald"
"перебир́ать","repeatedly touch; repeated smooth movements ( comb through hair)"
"своеобр́азный","distinctive or peculiar"
"опозд́ать","be late, be overdue"
"общ́аться","communicate socialise converse deal with"
"поќойник","Dead Person"
"изв́естие","news"
"П́ольша","Poland"
"кач́ать","to rock; to pump (extract from something); create ossilarly rhythmic movement"
"́ягода","berry"
"стол́етие","century"
"сдав́аться","give up"
"дл́иться","to last; long"
"бенз́ин","gasoline, petrol"
"окруж́ать","surround"
"франц́уз","Frenchman, the French"
"угов́аривать","persuade, talk into, convince"
"уп́ор","rest, emphasis, focus"
"отв́ерстие","hole (usually small)"
"р́ама","frame, chassis, carriage"
